symbol,date,open,high,low,close,volume
HEROMOTOCO,2008-06-09,764.8,793.85,726.0,772.2,308462
HEROMOTOCO,2008-06-10,772.2,774.0,755.0,765.4,121979
HEROMOTOCO,2008-06-11,766.05,835.0,762.65,810.25,178037
HEROMOTOCO,2008-06-12,784.65,825.0,765.65,814.5,197123
HEROMOTOCO,2008-06-13,814.0,814.0,780.2,784.25,100271
HEROMOTOCO,2008-06-16,784.0,797.95,761.6,764.75,164766
HEROMOTOCO,2008-06-17,766.0,787.3,762.25,777.35,81768
HEROMOTOCO,2008-06-18,764.0,795.0,760.0,789.2,215013
HEROMOTOCO,2008-06-19,790.0,810.0,773.0,797.1,62817
HEROMOTOCO,2008-06-20,799.0,800.0,751.0,758.3,57460
HEROMOTOCO,2008-06-23,750.0,758.5,730.55,736.3,141167
HEROMOTOCO,2008-06-24,730.0,744.9,690.0,703.15,119074
HEROMOTOCO,2008-06-25,685.05,717.0,663.0,704.45,218902
HEROMOTOCO,2008-06-26,705.0,748.85,678.0,719.65,332199
HEROMOTOCO,2008-06-27,699.0,715.0,672.4,682.9,226823
HEROMOTOCO,2008-06-30,686.0,710.0,672.65,692.3,142597
HEROMOTOCO,2008-07-01,685.1,694.7,674.55,681.05,144879
HEROMOTOCO,2008-07-02,675.65,699.95,665.25,680.35,307288
HEROMOTOCO,2008-07-03,672.05,762.0,651.6,663.95,167513
HEROMOTOCO,2008-07-04,673.0,684.7,656.0,666.6,196575
HEROMOTOCO,2008-07-07,648.7,699.0,645.6,689.65,408122
HEROMOTOCO,2008-07-08,668.0,695.55,668.0,689.45,108822
HEROMOTOCO,2008-07-09,699.0,749.7,672.1,715.25,413894
HEROMOTOCO,2008-07-10,701.3,725.0,685.0,688.6,331449
HEROMOTOCO,2008-07-11,695.0,695.0,657.05,666.75,263079
HEROMOTOCO,2008-07-14,652.3,682.0,650.1,660.95,148034
HEROMOTOCO,2008-07-15,654.9,660.0,643.0,654.9,118362
HEROMOTOCO,2008-07-16,658.0,664.0,632.5,638.1,183679
HEROMOTOCO,2008-07-17,645.0,666.0,641.2,659.65,355865
HEROMOTOCO,2008-07-18,654.0,687.8,653.9,679.65,319534
HEROMOTOCO,2008-07-21,682.0,727.0,682.0,717.8,110732
HEROMOTOCO,2008-07-22,717.0,742.0,703.05,726.0,199006
HEROMOTOCO,2008-07-23,758.0,758.0,735.4,749.9,356133
HEROMOTOCO,2008-07-24,736.7,770.0,732.0,762.95,184897
HEROMOTOCO,2008-07-25,754.0,768.0,741.0,757.15,204078
HEROMOTOCO,2008-07-28,742.35,771.0,730.0,761.3,316317
HEROMOTOCO,2008-07-29,760.0,760.0,727.0,735.55,120375
HEROMOTOCO,2008-07-30,749.9,788.0,740.0,782.75,214404
HEROMOTOCO,2008-07-31,785.0,808.9,775.0,803.85,619127
HEROMOTOCO,2008-08-01,785.0,800.0,770.25,794.95,244947
HEROMOTOCO,2008-08-04,775.15,800.0,775.15,795.2,168879
HEROMOTOCO,2008-08-05,796.0,848.0,790.0,828.85,642626
HEROMOTOCO,2008-08-06,832.0,846.0,817.0,819.2,152164
HEROMOTOCO,2008-08-07,819.0,828.35,808.05,820.55,162623
HEROMOTOCO,2008-08-08,822.0,827.5,815.1,821.7,167483
HEROMOTOCO,2008-08-11,843.0,843.8,820.25,828.2,163348
HEROMOTOCO,2008-08-12,833.0,833.0,817.1,820.65,115469
HEROMOTOCO,2008-08-13,812.1,827.5,810.5,817.55,176243
HEROMOTOCO,2008-08-14,800.65,813.0,775.6,784.2,229533
HEROMOTOCO,2008-08-18,789.0,798.0,775.0,792.15,252603
HEROMOTOCO,2008-08-19,784.0,799.9,778.0,789.3,356918
HEROMOTOCO,2008-08-20,797.3,809.0,795.0,804.95,124092
HEROMOTOCO,2008-08-21,805.0,808.0,780.6,802.7,138057
HEROMOTOCO,2008-08-22,800.0,808.9,795.0,801.1,343066
HEROMOTOCO,2008-08-25,815.0,815.0,801.15,803.25,420408
HEROMOTOCO,2008-08-26,800.0,804.75,793.45,799.45,170339
