symbol,date,open,high,low,close,volume
KOTAKBANK,2008-06-09,157.49,161.21,148.16,159.16,5707796
KOTAKBANK,2008-06-10,158.5,162.99,147.82,156.79,6120876
KOTAKBANK,2008-06-11,160.73,162.24,157.52,159.34,4117584
KOTAKBANK,2008-06-12,151.51,156.25,147.8,155.23,6921184
KOTAKBANK,2008-06-13,156.5,157.75,152.0,153.43,2771692
KOTAKBANK,2008-06-16,156.24,159.5,155.07,157.74,4240752
KOTAKBANK,2008-06-17,158.0,172.23,156.75,169.65,5759460
KOTAKBANK,2008-06-18,169.65,172.25,161.57,162.59,3687344
KOTAKBANK,2008-06-19,161.25,161.25,152.5,153.48,2891708
KOTAKBANK,2008-06-20,154.51,156.25,144.0,148.75,6369624
KOTAKBANK,2008-06-23,147.5,149.5,140.0,140.68,4150492
KOTAKBANK,2008-06-24,142.5,144.75,132.5,134.57,4704952
KOTAKBANK,2008-06-25,134.57,134.95,127.5,131.37,7937700
KOTAKBANK,2008-06-26,132.5,136.68,128.25,130.05,5190820
KOTAKBANK,2008-06-27,128.75,128.75,121.25,122.65,9660756
KOTAKBANK,2008-06-30,123.0,123.0,114.0,115.38,3966308
KOTAKBANK,2008-07-01,112.88,117.22,108.94,111.14,6825724
KOTAKBANK,2008-07-02,111.75,124.75,108.75,120.44,7285580
KOTAKBANK,2008-07-03,118.75,120.5,104.64,107.53,10683112
KOTAKBANK,2008-07-04,107.47,114.22,105.25,112.74,14788868
KOTAKBANK,2008-07-07,114.26,121.18,114.0,116.1,6039648
KOTAKBANK,2008-07-08,113.47,123.75,108.25,120.64,7248040
KOTAKBANK,2008-07-09,124.0,131.0,122.75,130.07,6984044
KOTAKBANK,2008-07-10,127.5,134.5,125.22,129.5,7582532
KOTAKBANK,2008-07-11,130.0,133.0,124.5,126.63,6686288
KOTAKBANK,2008-07-14,123.75,128.75,120.88,122.93,7873344
KOTAKBANK,2008-07-15,120.38,122.5,113.8,116.0,6153020
KOTAKBANK,2008-07-16,115.0,118.7,110.34,111.41,5064140
KOTAKBANK,2008-07-17,116.2,118.63,115.0,117.07,4412252
KOTAKBANK,2008-07-18,117.5,124.75,114.03,117.57,6664804
KOTAKBANK,2008-07-21,118.75,122.0,115.75,119.61,10419180
KOTAKBANK,2008-07-22,119.25,128.63,118.26,127.57,8923388
KOTAKBANK,2008-07-23,132.5,146.63,132.5,144.63,10206916
KOTAKBANK,2008-07-24,145.25,150.0,137.02,144.74,7720328
KOTAKBANK,2008-07-25,140.4,143.0,137.75,139.9,5555160
KOTAKBANK,2008-07-28,135.0,146.0,135.0,144.29,8774392
KOTAKBANK,2008-07-29,140.0,143.75,128.5,131.01,9974064
KOTAKBANK,2008-07-30,132.88,138.74,131.32,136.18,6332680
KOTAKBANK,2008-07-31,137.75,138.0,130.26,132.63,4798960
KOTAKBANK,2008-08-01,128.77,142.35,127.57,141.34,5714772
KOTAKBANK,2008-08-04,140.25,144.5,137.0,138.59,7946680
KOTAKBANK,2008-08-05,138.59,147.99,137.75,146.76,6950740
KOTAKBANK,2008-08-06,153.75,155.48,149.27,150.45,10947328
KOTAKBANK,2008-08-07,149.75,153.49,145.52,150.32,4227696
KOTAKBANK,2008-08-08,145.13,161.25,145.13,159.52,8431604
KOTAKBANK,2008-08-11,182.07,182.07,161.34,165.32,7676420
KOTAKBANK,2008-08-12,166.25,168.07,157.76,160.79,8367084
KOTAKBANK,2008-08-13,160.0,166.2,156.57,163.26,8195060
KOTAKBANK,2008-08-14,166.1,166.1,152.26,153.68,6633164
KOTAKBANK,2008-08-18,152.75,156.18,148.13,149.57,8434660
KOTAKBANK,2008-08-19,149.93,149.93,139.25,143.26,6877136
KOTAKBANK,2008-08-20,145.0,147.25,142.57,144.13,4624140
KOTAKBANK,2008-08-21,144.99,144.99,136.82,137.71,6559180
KOTAKBANK,2008-08-22,135.59,143.34,135.59,142.19,6366412
KOTAKBANK,2008-08-25,143.07,148.6,143.07,145.88,4748456
KOTAKBANK,2008-08-26,145.75,151.0,141.25,149.43,7404712
KOTAKBANK,2008-08-27,150.05,152.23,142.8,143.76,7139796
KOTAKBANK,2008-08-28,146.1,146.1,137.9,139.05,7723596
KOTAKBANK,2008-08-29,144.88,152.0,141.75,151.32,9062700
KOTAKBANK,2008-09-01,150.0,150.0,145.6,148.34,6638980
KOTAKBANK,2008-09-02,150.0,171.0,148.75,162.69,16437476
KOTAKBANK,2008-09-04,162.2,165.25,156.5,159.88,14547940
KOTAKBANK,2008-09-05,152.5,156.5,149.77,151.04,12755208
KOTAKBANK,2008-09-08,158.74,161.49,154.38,155.38,6836416
KOTAKBANK,2008-09-09,154.98,157.5,150.66,154.84,7919020
KOTAKBANK,2008-09-10,151.75,155.68,151.25,153.87,7678076
KOTAKBANK,2008-09-11,153.63,155.73,148.55,152.38,8827192
KOTAKBANK,2008-09-12,153.75,156.96,143.13,144.55,10272640
KOTAKBANK,2008-09-15,142.5,146.25,132.25,142.59,10014996
KOTAKBANK,2008-09-16,138.75,144.23,135.07,141.98,11115364
KOTAKBANK,2008-09-17,146.35,146.35,135.63,138.3,9027788
KOTAKBANK,2008-09-18,125.01,146.43,125.01,145.09,14050564
KOTAKBANK,2008-09-19,151.25,158.75,148.75,157.59,10001336
KOTAKBANK,2008-09-22,161.38,161.38,152.52,154.71,7822260
KOTAKBANK,2008-09-23,151.25,155.25,147.15,148.45,7354672
KOTAKBANK,2008-09-24,149.0,156.25,148.04,150.46,9088860
KOTAKBANK,2008-09-25,152.5,153.41,146.27,147.68,7265888
KOTAKBANK,2008-09-26,147.25,149.9,141.38,142.82,6875424
