symbol,date,open,high,low,close,volume
NTPC,2008-06-09,135.0,138.25,130.83,136.08,12141744
NTPC,2008-06-10,136.67,136.67,130.96,134.63,8874943
NTPC,2008-06-11,135.42,139.79,134.92,138.08,4441404
NTPC,2008-06-12,137.5,137.5,132.92,135.96,3398738
NTPC,2008-06-13,139.92,139.92,132.58,134.38,5011672
NTPC,2008-06-16,135.83,138.96,135.5,138.38,3554906
NTPC,2008-06-17,139.08,141.08,138.79,140.17,3363842
NTPC,2008-06-18,141.04,143.54,138.79,139.42,4851763
NTPC,2008-06-19,138.04,139.17,136.67,138.17,2685886
NTPC,2008-06-20,140.58,142.0,134.58,135.75,12324124
NTPC,2008-06-23,134.25,137.83,132.58,135.12,4881391
NTPC,2008-06-24,135.42,137.5,127.75,129.67,5643439
NTPC,2008-06-25,129.08,132.5,126.04,130.63,7904595
NTPC,2008-06-26,132.88,132.88,125.42,129.33,11889406
NTPC,2008-06-27,125.0,127.46,123.33,125.67,6970021
NTPC,2008-06-30,126.67,128.87,124.67,126.58,9191200
NTPC,2008-07-01,126.75,129.79,125.54,127.62,8759268
NTPC,2008-07-02,125.0,133.33,125.0,132.42,5461606
NTPC,2008-07-03,133.25,133.33,125.0,127.13,7995309
NTPC,2008-07-04,127.13,129.92,125.83,128.25,3606116
NTPC,2008-07-07,130.83,132.0,127.92,129.67,4350310
NTPC,2008-07-08,130.75,136.58,126.25,134.42,8330992
NTPC,2008-07-09,137.42,142.08,135.83,140.38,7148982
NTPC,2008-07-10,138.42,141.42,137.33,139.13,3934856
NTPC,2008-07-11,138.25,139.92,132.04,135.0,4354827
NTPC,2008-07-14,135.0,141.25,133.67,139.17,4315902
NTPC,2008-07-15,137.5,137.5,134.33,135.33,7518020
NTPC,2008-07-16,135.83,137.71,132.5,135.29,9917320
NTPC,2008-07-17,136.67,140.83,135.83,137.75,3860416
NTPC,2008-07-18,138.33,145.83,135.83,144.83,6864897
NTPC,2008-07-21,145.0,152.62,143.54,151.25,9901021
NTPC,2008-07-22,150.83,155.71,149.17,154.13,10414573
NTPC,2008-07-23,158.17,164.08,156.67,158.71,18677298
NTPC,2008-07-24,159.17,161.04,151.79,154.63,9925200
NTPC,2008-07-25,154.17,158.17,151.29,156.42,10070253
NTPC,2008-07-28,155.83,157.92,153.0,153.96,4899938
NTPC,2008-07-29,150.54,153.75,145.96,148.75,9460620
NTPC,2008-07-30,150.0,150.67,140.88,142.42,17618475
NTPC,2008-07-31,141.71,146.58,140.42,141.96,15844440
NTPC,2008-08-01,143.42,148.17,140.08,147.33,7506193
NTPC,2008-08-04,148.33,150.29,144.46,145.63,5652402
NTPC,2008-08-05,146.67,152.92,145.46,152.33,14679562
NTPC,2008-08-06,153.04,156.17,149.5,150.5,7129573
NTPC,2008-08-07,151.67,155.71,150.0,153.0,4492694
NTPC,2008-08-08,154.17,154.58,150.5,154.13,5422262
NTPC,2008-08-11,156.67,157.5,151.96,154.83,10273796
NTPC,2008-08-12,155.0,158.13,152.54,154.29,9213459
NTPC,2008-08-13,151.08,156.33,151.08,155.33,6567994
NTPC,2008-08-14,155.75,155.75,150.25,151.25,5426040
NTPC,2008-08-18,151.25,153.0,147.58,150.29,3240027
NTPC,2008-08-19,148.75,152.46,148.58,151.46,3608172
NTPC,2008-08-20,152.42,155.0,152.17,153.25,4094432
NTPC,2008-08-21,152.96,152.96,143.79,144.58,10303928
NTPC,2008-08-22,143.33,144.17,138.63,142.13,9506016
NTPC,2008-08-25,141.21,144.75,141.21,142.5,3389487
NTPC,2008-08-26,141.67,144.08,140.5,143.42,3920755
NTPC,2008-08-27,143.83,144.75,141.5,142.75,4218562
NTPC,2008-08-28,143.0,143.25,140.83,141.42,7626616
NTPC,2008-08-29,142.5,146.54,142.5,145.75,5336536
NTPC,2008-09-01,144.96,145.25,141.08,144.33,3686578
NTPC,2008-09-02,145.08,150.0,143.54,147.62,4333750
NTPC,2008-09-04,141.67,147.0,141.67,145.08,4207023
NTPC,2008-09-05,143.25,145.75,141.92,144.58,6718246
NTPC,2008-09-08,157.5,160.0,148.33,151.29,14849079
NTPC,2008-09-09,151.17,151.17,148.17,149.58,8350698
NTPC,2008-09-10,149.17,151.04,147.79,148.42,7299807
NTPC,2008-09-11,147.5,149.13,143.42,144.38,5754968
NTPC,2008-09-12,146.67,149.0,142.92,144.96,10468698
NTPC,2008-09-15,141.71,142.92,135.42,142.0,9112993
NTPC,2008-09-16,137.5,143.13,136.0,142.0,8417373
NTPC,2008-09-17,143.25,143.25,137.83,140.92,5807678
NTPC,2008-09-18,137.5,146.63,132.5,145.04,9332106
NTPC,2008-09-19,147.5,152.5,146.67,152.46,8125596
NTPC,2008-09-22,154.17,155.0,149.42,151.46,5001697
NTPC,2008-09-23,150.0,152.5,148.0,149.63,6047958
NTPC,2008-09-24,150.83,152.42,147.13,148.29,11099620
NTPC,2008-09-25,148.83,150.42,143.67,149.21,15398266
NTPC,2008-09-26,148.83,148.83,144.17,145.29,5329870
NTPC,2008-09-29,145.75,147.5,135.92,138.54,9044996
NTPC,2008-09-30,134.17,146.21,133.42,143.25,8181439
NTPC,2008-10-01,144.17,146.25,141.13,144.96,4162320
NTPC,2008-10-03,145.83,147.54,141.96,143.21,9611784
NTPC,2008-10-06,141.5,142.42,137.75,140.38,4917684
NTPC,2008-10-07,144.17,148.21,141.67,147.04,10297222
NTPC,2008-10-08,142.08,147.88,137.13,146.46,14029830
NTPC,2008-10-10,136.67,144.83,132.08,137.71,15722942
NTPC,2008-10-13,133.33,149.58,133.33,148.29,8763402
NTPC,2008-10-14,150.83,153.25,143.83,145.58,7754463
NTPC,2008-10-15,142.71,146.17,138.54,139.42,9577100
NTPC,2008-10-16,137.5,141.63,128.79,138.25,12077535
NTPC,2008-10-17,140.75,141.42,123.33,125.21,14673544
NTPC,2008-10-20,125.0,129.17,120.5,126.25,12454938
NTPC,2008-10-21,129.17,132.04,125.25,127.04,11688696
NTPC,2008-10-22,125.83,126.0,119.17,120.25,8910550
NTPC,2008-10-23,118.33,123.87,115.0,119.33,10882587
NTPC,2008-10-24,116.67,118.75,105.17,108.71,12592083
NTPC,2008-10-27,108.38,108.38,94.17,104.79,11732202
NTPC,2008-10-28,103.33,111.67,103.33,110.46,1184775
NTPC,2008-10-29,113.17,113.25,106.75,111.67,10429297
NTPC,2008-10-31,113.33,119.67,112.71,117.58,12353466
NTPC,2008-11-03,120.83,128.33,119.04,125.79,8969246
NTPC,2008-11-04,125.0,129.17,122.96,126.58,8417391
NTPC,2008-11-05,127.08,129.5,122.21,122.92,8120623
NTPC,2008-11-06,121.5,125.33,117.92,120.33,6299424
NTPC,2008-11-07,117.62,129.04,117.62,126.17,7459720
NTPC,2008-11-10,129.17,138.13,127.92,135.71,8155636
NTPC,2008-11-11,135.54,136.33,125.0,125.88,8291608
NTPC,2008-11-12,124.25,132.5,123.87,125.17,15387924
NTPC,2008-11-14,126.88,128.92,121.37,124.46,10152248
NTPC,2008-11-17,125.0,127.42,120.88,125.54,10045382
NTPC,2008-11-18,123.33,125.83,114.33,116.08,12403219
NTPC,2008-11-19,115.83,118.75,112.67,113.33,9510594
