symbol,date,open,high,low,close,volume
TATASTEEL,2008-06-09,81.94,83.3,79.0,82.32,25464040
TATASTEEL,2008-06-10,83.25,83.25,80.5,82.02,19228390
TATASTEEL,2008-06-11,82.75,84.8,82.53,83.67,16082420
TATASTEEL,2008-06-12,83.1,86.0,80.77,85.58,22087160
TATASTEEL,2008-06-13,86.0,86.39,83.61,84.1,22175220
TATASTEEL,2008-06-16,84.98,86.5,84.52,84.9,12141340
TATASTEEL,2008-06-17,84.7,85.59,83.55,85.06,18996180
TATASTEEL,2008-06-18,85.3,86.09,81.81,82.25,15804550
TATASTEEL,2008-06-19,81.5,83.2,80.65,81.68,19839850
TATASTEEL,2008-06-20,82.5,82.5,77.15,77.74,19681880
TATASTEEL,2008-06-23,74.1,79.5,73.04,74.58,17984840
TATASTEEL,2008-06-24,74.57,75.97,69.13,71.11,20518470
TATASTEEL,2008-06-25,69.89,74.6,68.0,74.26,25545090
TATASTEEL,2008-06-26,74.5,76.39,73.09,75.65,31472480
TATASTEEL,2008-06-27,75.22,78.47,71.12,72.68,77068720
TATASTEEL,2008-06-30,72.32,74.4,71.51,72.89,33235350
TATASTEEL,2008-07-01,72.25,74.5,69.08,69.77,29133760
TATASTEEL,2008-07-02,71.5,75.0,67.35,74.08,37585820
TATASTEEL,2008-07-03,74.1,74.15,65.1,65.81,40829880
TATASTEEL,2008-07-04,65.6,66.71,62.64,64.04,45120610
TATASTEEL,2008-07-07,64.45,66.6,64.45,65.19,28993120
TATASTEEL,2008-07-08,64.5,66.2,63.0,65.19,18255150
TATASTEEL,2008-07-09,65.99,67.99,65.99,67.76,20308680
TATASTEEL,2008-07-10,68.11,70.79,67.0,69.89,25549060
TATASTEEL,2008-07-11,70.54,70.65,65.82,66.61,23066910
TATASTEEL,2008-07-14,64.6,69.99,64.6,68.34,21175480
TATASTEEL,2008-07-15,66.43,67.85,64.25,64.79,16568250
TATASTEEL,2008-07-16,65.6,66.29,61.72,62.53,27494660
TATASTEEL,2008-07-17,64.5,66.54,59.7,60.74,43900390
TATASTEEL,2008-07-18,60.02,61.1,58.1,59.26,37423810
TATASTEEL,2008-07-21,61.5,61.5,58.15,59.9,19985950
TATASTEEL,2008-07-22,61.49,63.64,59.03,62.56,42241840
TATASTEEL,2008-07-23,64.19,67.6,64.03,66.75,56051960
TATASTEEL,2008-07-24,67.0,68.0,61.96,63.09,48887520
TATASTEEL,2008-07-25,62.5,63.98,60.9,61.76,41053750
TATASTEEL,2008-07-28,61.45,62.4,60.21,60.4,22737720
TATASTEEL,2008-07-29,60.5,60.5,57.78,58.45,26601440
TATASTEEL,2008-07-30,59.5,63.45,59.5,63.02,40797340
TATASTEEL,2008-07-31,62.9,66.28,62.9,65.51,44366330
TATASTEEL,2008-08-01,65.24,68.39,64.5,67.99,42728490
TATASTEEL,2008-08-04,67.99,70.0,66.9,69.15,32663890
TATASTEEL,2008-08-05,69.5,69.8,65.51,67.59,65887380
TATASTEEL,2008-08-06,68.33,68.8,64.18,64.59,42467970
TATASTEEL,2008-08-07,64.6,66.59,63.61,64.46,40080580
TATASTEEL,2008-08-08,63.5,65.6,63.5,65.25,20488280
TATASTEEL,2008-08-11,65.6,66.57,64.21,64.48,20672630
TATASTEEL,2008-08-12,65.2,66.47,59.81,60.79,60620760
TATASTEEL,2008-08-13,60.49,62.48,60.0,61.04,32389370
TATASTEEL,2008-08-14,64.77,64.77,60.8,61.65,24782980
TATASTEEL,2008-08-18,61.7,62.1,59.9,60.28,21530650
TATASTEEL,2008-08-19,61.9,61.9,59.23,59.8,28630190
TATASTEEL,2008-08-20,60.3,61.6,60.2,60.57,24653830
TATASTEEL,2008-08-21,60.78,61.3,58.2,58.77,34341250
TATASTEEL,2008-08-22,59.5,59.74,57.84,59.38,58140670
TATASTEEL,2008-08-25,60.1,60.45,58.0,58.52,32481590
TATASTEEL,2008-08-26,58.4,58.4,57.03,57.78,31057000
TATASTEEL,2008-08-27,57.7,58.86,57.7,58.13,30681140
TATASTEEL,2008-08-28,58.9,58.9,56.72,57.2,32405440
TATASTEEL,2008-08-29,67.6,67.6,58.1,60.07,46569700
TATASTEEL,2008-09-01,59.8,59.8,57.7,58.42,21233890
TATASTEEL,2008-09-02,59.0,59.4,58.03,58.92,20642440
TATASTEEL,2008-09-04,58.5,59.1,57.8,58.28,12140550
TATASTEEL,2008-09-05,57.85,57.85,55.5,56.03,45255230
TATASTEEL,2008-09-08,57.48,57.94,56.72,56.9,19173620
TATASTEEL,2008-09-09,56.8,57.2,56.0,56.36,19479250
TATASTEEL,2008-09-10,56.05,56.58,53.0,53.52,44674050
TATASTEEL,2008-09-11,53.7,53.7,52.25,52.63,31308160
TATASTEEL,2008-09-12,54.0,54.0,52.05,52.37,26092660
TATASTEEL,2008-09-15,51.8,51.8,48.75,50.05,28896320
TATASTEEL,2008-09-16,48.8,48.9,47.6,48.65,29414510
TATASTEEL,2008-09-17,49.0,49.49,46.71,47.38,39995420
TATASTEEL,2008-09-18,46.41,46.74,43.87,45.98,63958770
TATASTEEL,2008-09-19,46.5,48.5,45.23,47.95,30796190
TATASTEEL,2008-09-22,48.98,50.34,47.92,49.4,30563480
TATASTEEL,2008-09-23,48.21,49.03,46.85,47.03,24433820
TATASTEEL,2008-09-24,47.0,48.8,47.0,48.6,19807830
TATASTEEL,2008-09-25,50.0,50.0,47.1,48.47,33463340
TATASTEEL,2008-09-26,48.0,48.49,45.81,46.19,19997910
TATASTEEL,2008-09-29,46.2,46.7,43.53,44.6,18511830
TATASTEEL,2008-09-30,44.0,44.2,41.26,42.72,43145950
TATASTEEL,2008-10-01,43.0,44.69,42.51,43.84,25473870
TATASTEEL,2008-10-03,43.84,43.84,39.01,39.3,57979270
TATASTEEL,2008-10-06,38.47,38.47,33.95,35.0,81525380
TATASTEEL,2008-10-07,40.0,40.0,34.06,35.78,56602930
TATASTEEL,2008-10-08,34.7,34.9,31.6,33.83,53479110
