symbol,date,open,high,low,close,volume
TITAN,2008-06-09,55.0,57.0,54.63,56.53,1188500
TITAN,2008-06-10,54.6,56.0,53.3,54.25,2313020
TITAN,2008-06-11,54.85,56.7,51.65,53.23,4983040
TITAN,2008-06-12,52.75,53.75,51.5,53.22,1099920
TITAN,2008-06-13,53.95,54.92,52.27,53.56,1242300
TITAN,2008-06-16,54.2,54.75,51.4,52.05,2361160
TITAN,2008-06-17,52.3,55.45,51.56,54.97,2877080
TITAN,2008-06-18,55.5,56.7,54.0,54.27,1646100
TITAN,2008-06-19,52.55,54.25,52.55,53.48,997920
TITAN,2008-06-20,53.9,54.5,52.6,53.05,972920
TITAN,2008-06-23,52.75,53.64,50.5,52.51,5301860
TITAN,2008-06-24,52.0,53.2,50.37,50.98,5117860
TITAN,2008-06-25,50.55,54.0,49.6,53.03,2111700
TITAN,2008-06-26,53.5,54.3,52.05,52.73,1152840
TITAN,2008-06-27,51.39,52.9,50.05,51.56,1550240
TITAN,2008-06-30,51.25,52.72,49.05,49.62,934100
TITAN,2008-07-01,50.0,50.75,47.2,50.06,2014480
TITAN,2008-07-02,49.5,52.7,49.25,52.23,1976780
TITAN,2008-07-03,51.9,54.5,50.15,52.5,1524480
TITAN,2008-07-04,51.6,54.0,50.76,51.2,1392200
TITAN,2008-07-07,52.25,53.1,51.63,52.6,646060
TITAN,2008-07-08,51.65,52.45,50.3,51.9,839300
TITAN,2008-07-09,52.5,54.39,52.5,53.57,528940
TITAN,2008-07-10,53.1,54.65,53.1,54.02,489980
TITAN,2008-07-11,54.29,54.9,52.75,53.14,293720
TITAN,2008-07-14,52.5,53.99,52.25,53.41,434680
TITAN,2008-07-15,52.74,53.35,51.5,52.71,623040
TITAN,2008-07-16,53.4,53.4,50.56,51.16,527200
TITAN,2008-07-17,52.25,52.25,49.61,50.97,1280920
TITAN,2008-07-18,51.25,51.7,50.3,51.39,766000
TITAN,2008-07-21,51.35,51.5,50.45,51.03,377500
TITAN,2008-07-22,51.2,54.98,50.75,53.1,973300
TITAN,2008-07-23,55.25,59.94,54.55,56.6,883600
TITAN,2008-07-24,56.1,57.5,54.25,54.86,362000
TITAN,2008-07-25,54.0,56.5,53.95,55.56,3740280
TITAN,2008-07-28,56.4,56.5,54.7,55.08,225600
TITAN,2008-07-29,55.0,56.0,53.75,54.36,505060
TITAN,2008-07-30,53.25,55.7,53.25,54.89,486240
TITAN,2008-07-31,54.75,57.3,54.75,56.33,2852800
TITAN,2008-08-01,56.95,59.3,55.56,58.61,3121880
TITAN,2008-08-04,59.0,64.2,59.0,63.72,3186420
TITAN,2008-08-05,62.45,65.8,62.45,63.18,3228400
TITAN,2008-08-06,64.68,64.68,60.9,61.13,1658840
TITAN,2008-08-07,58.75,64.3,57.67,63.5,2637460
TITAN,2008-08-08,63.75,65.0,62.85,63.88,1578000
TITAN,2008-08-11,64.95,65.44,63.01,64.24,2259980
TITAN,2008-08-12,63.45,65.15,62.41,62.66,1374140
TITAN,2008-08-13,62.45,64.0,61.8,62.31,1062160
TITAN,2008-08-14,65.25,65.25,60.65,61.1,1110840
TITAN,2008-08-18,61.0,61.48,60.08,60.86,544100
TITAN,2008-08-19,60.15,60.5,59.25,60.02,693720
TITAN,2008-08-20,60.02,60.7,59.5,59.98,333320
TITAN,2008-08-21,60.0,61.25,58.63,59.16,2369520
TITAN,2008-08-22,58.3,62.23,58.3,61.87,1315240
TITAN,2008-08-25,63.0,63.25,61.56,61.85,862960
TITAN,2008-08-26,60.2,63.2,60.2,62.45,686500
TITAN,2008-08-27,62.8,63.75,61.03,61.3,1078900
TITAN,2008-08-28,61.6,62.73,61.2,62.19,1830920
