symbol,date,open,high,low,close,volume
BAJAJFINSV,2008-06-09,62.0,64.8,58.0,62.99,7583930
BAJAJFINSV,2008-06-10,61.8,67.5,61.8,66.93,9391800
BAJAJFINSV,2008-06-11,67.2,68.2,64.11,65.35,7507140
BAJAJFINSV,2008-06-12,62.9,63.85,60.1,60.59,4143200
BAJAJFINSV,2008-06-13,60.7,62.45,57.28,58.08,4585140
BAJAJFINSV,2008-06-16,59.5,61.8,58.72,61.4,4964390
BAJAJFINSV,2008-06-17,61.0,62.6,60.51,61.1,2488500
BAJAJFINSV,2008-06-18,61.5,61.72,58.51,59.19,1423860
BAJAJFINSV,2008-06-19,58.0,62.5,57.81,61.19,4680380
BAJAJFINSV,2008-06-20,60.3,61.83,53.2,55.49,2893520
BAJAJFINSV,2008-06-23,55.1,57.59,55.0,56.54,5149920
BAJAJFINSV,2008-06-24,56.55,57.2,53.7,54.92,2944670
BAJAJFINSV,2008-06-25,54.2,63.25,54.0,57.71,1242640
BAJAJFINSV,2008-06-26,57.8,60.0,57.8,59.03,1344580
BAJAJFINSV,2008-06-27,58.5,58.5,55.0,56.2,1709670
BAJAJFINSV,2008-06-30,56.5,57.0,52.0,53.78,1053790
BAJAJFINSV,2008-07-01,53.5,53.69,50.26,51.78,860300
BAJAJFINSV,2008-07-02,51.1,53.0,49.5,52.26,2253160
BAJAJFINSV,2008-07-03,49.52,51.38,44.6,47.85,2914840
BAJAJFINSV,2008-07-04,47.13,50.0,44.7,49.97,987070
BAJAJFINSV,2008-07-07,49.47,54.4,49.47,52.18,4221930
BAJAJFINSV,2008-07-08,47.58,51.8,47.58,51.1,2362810
BAJAJFINSV,2008-07-09,55.0,55.0,51.2,51.81,910410
BAJAJFINSV,2008-07-10,51.5,51.99,50.0,50.68,837230
BAJAJFINSV,2008-07-11,51.99,52.0,46.67,47.9,457640
BAJAJFINSV,2008-07-14,49.8,49.8,45.5,46.19,790490
BAJAJFINSV,2008-07-15,44.7,46.3,43.6,44.85,525500
BAJAJFINSV,2008-07-16,44.0,45.19,41.75,42.49,2693640
