symbol,date,open,high,low,close,volume
ITC,2008-06-09,69.8,71.13,68.33,69.12,12872744
ITC,2008-06-10,69.33,69.33,66.05,67.19,23134970
ITC,2008-06-11,67.33,67.8,64.93,66.5,36574661
ITC,2008-06-12,65.38,67.53,65.07,66.65,19019672
ITC,2008-06-13,66.67,67.13,64.88,66.05,13570538
ITC,2008-06-16,66.63,67.37,65.83,67.17,14265404
ITC,2008-06-17,67.33,68.3,67.0,67.75,5600300
ITC,2008-06-18,68.33,69.09,67.5,68.65,11203187
ITC,2008-06-19,67.67,68.8,67.02,68.6,9119669
ITC,2008-06-20,68.63,68.63,64.83,66.13,13362173
ITC,2008-06-23,65.67,68.09,64.35,65.13,17291768
ITC,2008-06-24,66.6,66.6,62.33,63.83,26075168
ITC,2008-06-25,63.67,63.67,60.87,62.15,18386123
ITC,2008-06-26,63.33,64.33,62.03,63.92,20410490
ITC,2008-06-27,63.3,63.3,60.87,61.23,13346792
ITC,2008-06-30,61.25,63.59,60.33,62.6,11826203
ITC,2008-07-01,62.2,63.33,59.37,61.0,8756981
ITC,2008-07-02,61.0,61.98,58.83,59.97,24335435
ITC,2008-07-03,59.6,60.31,56.03,56.43,17580551
ITC,2008-07-04,57.0,59.3,55.83,57.07,17025440
ITC,2008-07-07,57.67,59.97,57.67,59.29,9997688
ITC,2008-07-08,58.31,58.75,56.2,57.27,13425377
ITC,2008-07-09,57.83,62.12,57.79,61.29,14107412
ITC,2008-07-10,60.93,61.29,59.33,59.71,8403503
ITC,2008-07-11,59.97,60.67,57.45,58.19,6636197
ITC,2008-07-14,58.5,59.63,55.79,56.2,15913082
ITC,2008-07-15,55.9,55.9,53.0,53.48,16775192
ITC,2008-07-16,53.29,56.13,52.21,54.12,24412523
ITC,2008-07-17,55.33,56.63,54.2,55.75,15215288
ITC,2008-07-18,56.03,59.63,55.02,58.75,15001832
ITC,2008-07-21,58.75,61.81,57.67,59.73,18747194
ITC,2008-07-22,59.71,63.42,59.12,63.29,24718655
ITC,2008-07-23,64.79,66.57,62.65,63.87,31888616
ITC,2008-07-24,63.87,65.6,62.53,63.5,11023463
ITC,2008-07-25,63.3,64.0,61.88,63.05,10660373
ITC,2008-07-28,63.02,64.5,62.67,63.55,11035349
ITC,2008-07-29,63.0,63.63,61.42,63.2,10239809
ITC,2008-07-30,62.67,63.93,61.67,62.77,11821298
ITC,2008-07-31,63.67,63.97,59.0,62.27,58790960
ITC,2008-08-01,62.35,62.69,60.85,62.37,18120659
ITC,2008-08-04,62.37,63.3,62.0,62.6,6972731
ITC,2008-08-05,63.0,63.77,62.31,63.38,14585030
ITC,2008-08-06,64.0,65.29,62.8,63.3,25795025
ITC,2008-08-07,63.33,64.9,62.67,63.98,26172122
ITC,2008-08-08,63.67,64.3,63.1,63.37,14261618
ITC,2008-08-11,64.0,65.0,63.57,64.6,4682141
