symbol,date,open,high,low,close,volume
SHRIRAMFIN,2008-06-09,320.0,325.05,307.1,315.65,19818
SHRIRAMFIN,2008-06-10,318.5,318.5,300.5,309.1,107932
SHRIRAMFIN,2008-06-11,327.95,327.95,299.0,303.55,162274
SHRIRAMFIN,2008-06-12,300.1,309.0,298.25,303.7,36435
SHRIRAMFIN,2008-06-13,302.0,308.0,299.0,304.95,38748
SHRIRAMFIN,2008-06-16,312.0,317.85,302.0,304.25,56335
SHRIRAMFIN,2008-06-17,308.6,320.0,304.55,316.4,14589
SHRIRAMFIN,2008-06-18,320.5,322.0,315.1,319.3,15268
SHRIRAMFIN,2008-06-19,315.0,315.9,305.5,309.65,10791
SHRIRAMFIN,2008-06-20,311.3,316.0,303.15,306.85,17254
SHRIRAMFIN,2008-06-23,301.65,308.0,299.75,301.0,40317
SHRIRAMFIN,2008-06-24,300.5,306.0,294.0,299.0,80457
SHRIRAMFIN,2008-06-25,293.0,304.0,291.0,300.55,39895
SHRIRAMFIN,2008-06-26,305.85,307.0,296.0,299.8,62458
SHRIRAMFIN,2008-06-27,299.4,304.9,292.0,299.8,28477
SHRIRAMFIN,2008-06-30,291.0,309.0,275.4,287.65,59148
SHRIRAMFIN,2008-07-01,273.0,297.9,273.0,284.7,47217
SHRIRAMFIN,2008-07-02,275.65,295.0,275.65,291.55,76748
SHRIRAMFIN,2008-07-03,275.1,291.95,275.1,289.4,17963
SHRIRAMFIN,2008-07-04,275.3,290.0,275.3,281.1,86111
SHRIRAMFIN,2008-07-07,281.1,298.0,281.1,296.7,23965
SHRIRAMFIN,2008-07-08,282.35,356.0,282.35,309.25,3155208
SHRIRAMFIN,2008-07-09,305.0,314.5,298.0,299.9,55449
SHRIRAMFIN,2008-07-10,299.0,303.75,293.05,299.3,29107
SHRIRAMFIN,2008-07-11,299.0,299.95,296.15,297.85,80031
SHRIRAMFIN,2008-07-14,301.1,301.1,292.1,294.9,24654
SHRIRAMFIN,2008-07-15,285.0,295.0,285.0,292.1,21687
SHRIRAMFIN,2008-07-16,275.3,297.0,275.3,289.35,31275
SHRIRAMFIN,2008-07-17,275.3,295.0,275.3,283.8,31835
SHRIRAMFIN,2008-07-18,275.3,288.0,275.0,279.35,120178
SHRIRAMFIN,2008-07-21,276.0,290.0,271.2,279.5,88448
SHRIRAMFIN,2008-07-22,278.05,283.0,275.0,279.25,132449
SHRIRAMFIN,2008-07-23,283.0,296.75,270.0,282.4,164477
SHRIRAMFIN,2008-07-24,292.0,294.85,279.15,289.15,78055
SHRIRAMFIN,2008-07-25,289.5,298.6,283.25,293.95,59864
SHRIRAMFIN,2008-07-28,276.95,302.0,276.95,296.0,63463
SHRIRAMFIN,2008-07-29,290.2,304.65,285.6,294.4,91670
SHRIRAMFIN,2008-07-30,295.0,300.0,293.25,297.2,267979
