symbol,date,open,high,low,close,volume
TCS,2008-06-09,225.57,241.23,222.5,228.52,6140140
TCS,2008-06-10,227.5,229.75,216.75,219.75,6155372
TCS,2008-06-11,222.5,227.5,220.0,222.59,4113368
TCS,2008-06-12,223.5,225.6,214.25,222.07,2464004
TCS,2008-06-13,220.0,230.48,220.0,227.4,6732432
TCS,2008-06-16,229.75,232.0,225.82,227.7,6541784
TCS,2008-06-17,226.25,231.75,226.25,230.32,3504824
TCS,2008-06-18,230.2,230.25,222.75,225.23,6431336
TCS,2008-06-19,220.07,224.5,220.0,222.0,3289068
TCS,2008-06-20,224.98,224.98,210.38,215.96,8157760
TCS,2008-06-23,215.96,219.87,210.75,214.62,3572312
TCS,2008-06-24,212.5,216.93,205.85,211.1,9287176
TCS,2008-06-25,210.0,221.25,207.82,219.2,5914196
TCS,2008-06-26,221.0,224.5,215.1,220.34,7028316
TCS,2008-06-27,220.34,220.34,212.79,216.38,6260948
TCS,2008-06-30,217.75,219.5,212.5,214.55,3258044
TCS,2008-07-01,216.25,218.0,208.76,211.93,5059616
TCS,2008-07-02,212.5,222.0,210.0,219.13,8141112
TCS,2008-07-03,220.25,220.25,205.13,214.16,4172528
TCS,2008-07-04,217.48,217.51,208.88,211.13,3939584
TCS,2008-07-07,211.25,216.0,208.0,213.07,1794132
TCS,2008-07-08,207.54,211.25,204.5,207.55,3947624
TCS,2008-07-09,212.5,222.49,212.5,219.19,3578548
TCS,2008-07-10,217.5,222.25,213.09,217.1,3504368
TCS,2008-07-11,229.25,235.75,196.35,199.65,5523784
TCS,2008-07-14,200.0,200.0,190.25,191.96,4559896
TCS,2008-07-15,191.96,196.62,184.29,187.66,4509844
TCS,2008-07-16,188.66,193.41,178.98,182.02,5739900
TCS,2008-07-17,183.75,196.73,182.51,195.82,10350716
TCS,2008-07-18,195.0,200.5,187.25,198.46,8339496
TCS,2008-07-21,199.75,203.75,195.75,203.2,3582068
TCS,2008-07-22,204.0,210.99,201.51,207.96,4241164
TCS,2008-07-23,207.5,217.5,204.73,215.13,5971420
TCS,2008-07-24,218.63,218.63,198.09,200.63,11742336
TCS,2008-07-25,199.8,212.38,195.5,199.8,8842536
TCS,2008-07-28,200.0,204.24,196.25,201.57,1969372
TCS,2008-07-29,201.68,203.45,198.0,202.24,2472192
TCS,2008-07-30,211.5,211.5,200.0,209.74,4420076
TCS,2008-07-31,210.0,210.5,205.38,208.44,5195580
TCS,2008-08-01,206.25,214.24,202.82,210.16,4011724
TCS,2008-08-04,203.75,210.0,202.75,203.84,5238928
TCS,2008-08-05,203.85,208.75,201.32,207.43,4768200
TCS,2008-08-06,209.98,217.49,209.1,215.13,5009932
TCS,2008-08-07,214.75,217.48,211.25,213.34,3072320
TCS,2008-08-08,211.24,214.25,208.35,211.27,2086672
TCS,2008-08-11,213.0,214.45,206.13,208.49,3405100
TCS,2008-08-12,208.75,210.93,203.75,204.82,3323504
TCS,2008-08-13,200.0,209.43,200.0,207.07,3697968
TCS,2008-08-14,207.25,211.16,202.75,208.3,3741508
TCS,2008-08-18,210.0,213.1,208.75,210.38,1956648
TCS,2008-08-19,211.13,212.75,208.77,210.32,1953300
TCS,2008-08-20,210.68,212.25,208.75,210.4,1127256
TCS,2008-08-21,209.0,210.5,203.8,204.46,1976516
TCS,2008-08-22,204.75,206.19,200.88,204.75,2645284
TCS,2008-08-25,206.0,208.75,204.0,204.55,942244
TCS,2008-08-26,202.49,209.24,202.49,208.51,2205004
TCS,2008-08-27,205.02,209.0,203.27,204.62,2131788
TCS,2008-08-28,205.0,206.07,195.66,198.09,6580688
TCS,2008-08-29,200.0,204.99,200.0,203.05,1998500
TCS,2008-09-01,203.75,205.0,201.75,203.74,1527432
TCS,2008-09-02,203.74,213.25,203.74,212.2,2647848
TCS,2008-09-04,211.25,213.7,208.09,211.05,2461676
TCS,2008-09-05,212.5,212.5,206.25,209.6,2445368
TCS,2008-09-08,215.0,218.6,210.5,214.18,5170432
TCS,2008-09-09,213.75,217.93,210.0,216.2,2815328
TCS,2008-09-10,215.29,217.55,212.02,212.73,3063456
TCS,2008-09-11,212.73,217.0,207.25,209.18,1908976
TCS,2008-09-12,216.25,216.25,200.24,202.63,3573964
TCS,2008-09-15,195.0,199.75,186.25,190.7,8550948
TCS,2008-09-16,187.38,187.75,181.25,187.21,5072364
TCS,2008-09-17,187.0,191.16,182.0,182.52,4200868
TCS,2008-09-18,182.0,187.25,167.75,180.29,6357104
TCS,2008-09-19,194.93,194.93,182.52,191.71,9544368
TCS,2008-09-22,217.0,217.0,188.25,191.7,4472944
TCS,2008-09-23,178.84,191.93,178.84,180.25,2966120
TCS,2008-09-24,181.13,187.0,172.57,178.26,7380724
TCS,2008-09-25,178.27,179.96,167.76,172.1,15122632
TCS,2008-09-26,175.0,175.0,166.55,169.05,4217244
TCS,2008-09-29,169.7,169.7,153.0,155.0,5578636
TCS,2008-09-30,148.0,169.18,147.5,166.4,8391372
TCS,2008-10-01,167.4,171.23,161.34,167.94,6017916
TCS,2008-10-03,166.24,166.24,160.59,164.38,4172404
TCS,2008-10-06,162.82,162.82,150.0,154.75,5882984
TCS,2008-10-07,157.79,166.25,141.5,143.98,8884604
TCS,2008-10-08,138.75,140.74,127.0,136.65,8301380
TCS,2008-10-10,135.0,137.5,120.1,131.2,13742076
TCS,2008-10-13,131.99,150.73,131.2,143.21,13866024
TCS,2008-10-14,149.75,154.85,145.34,148.18,7424624
TCS,2008-10-15,146.25,147.16,133.82,135.77,5308752
TCS,2008-10-16,131.25,132.18,116.97,123.75,8031800
TCS,2008-10-17,125.0,132.25,111.25,113.46,9743540
TCS,2008-10-20,124.16,126.25,113.82,122.84,12413060
TCS,2008-10-21,134.6,141.98,123.34,139.77,11804900
TCS,2008-10-22,138.75,138.75,127.78,136.66,6020668
TCS,2008-10-23,131.16,147.0,125.32,136.82,10501016
TCS,2008-10-24,125.93,134.1,110.0,124.71,8479936
TCS,2008-10-27,120.25,129.5,103.84,124.19,8972576
TCS,2008-10-28,127.78,137.48,127.5,135.07,665712
TCS,2008-10-29,140.5,143.75,132.57,135.2,10955572
TCS,2008-10-31,142.25,148.75,132.44,134.38,10375980
TCS,2008-11-03,139.99,145.75,131.76,136.85,7532020
TCS,2008-11-04,149.15,149.15,122.5,127.13,9422540
TCS,2008-11-05,128.75,137.23,125.0,126.6,9233164
