symbol,date,open,high,low,close,volume
RJL,2016-01-01,146.0,172.45,146.0,168.0,316393
RJL,2016-01-04,169.5,179.55,168.2,177.0,176239
RJL,2016-01-05,178.2,184.25,173.3,173.3,88306
RJL,2016-01-06,175.1,178.45,157.15,168.0,80632
RJL,2016-01-07,166.05,166.05,158.0,159.0,56174
RJL,2016-01-08,163.1,164.5,159.3,162.65,23821
RJL,2016-01-11,163.0,163.0,150.75,154.4,27508
RJL,2016-01-12,152.0,161.4,152.0,157.0,22098
RJL,2016-01-13,162.0,169.0,131.15,147.0,95807
RJL,2016-01-14,137.7,154.5,130.1,147.75,30362
RJL,2016-01-15,150.0,157.5,138.0,138.05,27706
RJL,2016-01-18,132.1,136.0,122.0,129.0,55113
RJL,2016-01-19,135.0,140.0,125.6,140.0,27146
RJL,2016-01-20,130.0,133.9,125.0,131.0,40235
RJL,2016-01-21,135.0,138.0,129.9,134.9,20360
RJL,2016-01-22,135.0,145.15,135.0,141.95,19671
RJL,2016-01-25,142.0,152.8,142.0,144.9,18203
RJL,2016-01-27,147.0,153.3,144.05,148.0,9856
RJL,2016-01-28,146.0,153.0,146.0,150.0,9663
RJL,2016-01-29,153.0,154.95,145.0,146.0,9416
RJL,2016-02-01,147.0,151.0,145.0,146.0,7423
RJL,2016-02-02,146.0,148.0,138.05,139.9,10247
RJL,2016-02-03,137.0,140.0,133.0,135.8,20265
RJL,2016-02-04,144.1,146.9,132.25,133.6,14410
RJL,2016-02-05,133.6,142.0,132.95,142.0,7849
RJL,2016-02-08,130.1,137.5,127.15,128.0,34320
RJL,2016-02-09,127.1,132.0,123.4,130.0,24485
RJL,2016-02-10,129.65,131.8,121.65,128.0,12099
RJL,2016-02-11,126.0,127.0,115.0,119.0,11878
RJL,2016-02-12,111.0,117.8,103.8,111.0,20914
RJL,2016-02-15,116.0,126.0,116.0,126.0,13993
RJL,2016-02-16,124.1,128.5,118.1,125.0,19209
RJL,2016-02-17,125.45,125.45,112.0,120.25,10642
RJL,2016-02-18,123.5,125.7,123.0,123.05,6049
RJL,2016-02-19,123.0,126.1,113.75,124.75,3104
RJL,2016-02-22,130.0,141.75,128.05,134.0,44694
RJL,2016-02-23,134.0,136.9,130.4,134.0,11572
RJL,2016-02-24,133.05,135.9,130.2,130.2,7961
RJL,2016-02-25,132.5,132.9,129.8,132.9,9235
RJL,2016-02-26,135.45,135.45,127.0,130.0,7850
RJL,2016-02-29,132.45,132.95,124.15,125.2,12317
RJL,2016-03-01,128.0,132.0,126.55,128.0,3401
RJL,2016-03-02,130.0,133.4,128.2,129.0,13830
RJL,2016-03-03,132.0,132.0,128.0,130.0,5221
RJL,2016-03-04,131.9,131.9,126.2,130.0,2760
RJL,2016-03-08,131.8,135.5,128.1,134.5,14066
RJL,2016-03-09,133.5,133.5,129.05,130.45,4200
RJL,2016-03-10,128.55,133.0,121.5,124.0,31403
RJL,2016-03-11,129.9,129.9,122.05,126.5,9742
RJL,2016-03-14,129.0,129.0,126.0,126.7,3553
RJL,2016-03-15,130.0,130.0,123.0,123.9,3382
RJL,2016-03-16,126.0,130.0,123.05,127.45,6441
RJL,2016-03-17,130.0,130.0,124.8,127.85,1905
RJL,2016-03-18,130.35,130.35,124.75,124.8,10551
RJL,2016-03-21,127.8,132.0,125.3,128.0,12854
RJL,2016-03-22,130.0,133.1,127.0,129.9,25883
RJL,2016-03-23,129.85,134.35,129.2,130.0,21806
RJL,2016-03-28,131.0,133.0,125.1,125.1,2402
RJL,2016-03-29,127.0,129.0,123.55,127.05,11869
RJL,2016-03-30,128.0,130.0,126.55,129.8,4360
RJL,2016-03-31,129.9,130.0,123.55,125.05,8430
RJL,2016-04-01,127.4,127.4,125.0,125.7,2313
RJL,2016-04-04,127.0,128.9,125.25,128.9,3975
RJL,2016-04-05,131.9,131.9,125.1,128.45,3307
RJL,2016-04-06,128.45,129.0,124.1,127.0,6730
RJL,2016-04-07,125.05,127.7,124.65,127.35,2748
RJL,2016-04-08,129.9,132.9,125.0,125.35,6756
RJL,2016-04-11,116.95,127.95,116.95,126.5,4976
RJL,2016-04-12,129.0,132.8,126.1,126.1,13802
